author,updated_at,like_count,text,video_id,public
@greenalien9287,2023-07-06T00:04:25Z,950,زيدنا شي حلقة اخرى على هاذ البرنامج الله يحفظك😂😂😂😂,5YKq_2kP8_w,True
@zineb8153,2024-01-20T12:34:22Z,0,هذيك المسمومة غير حيدوها,5YKq_2kP8_w,True
@mohamedhaddi6810,2024-01-15T21:26:06Z,0,عندي واحد الغلاي في عمره أكثر من ماءة سنة نحاسي كم ثمنة,5YKq_2kP8_w,True
@user-ck1bf7ci5e,2024-01-15T13:17:40Z,0,‏الله يعطينا وجهكم نصب واحتيال بطريقة مشمئزة وجهي في وجهك,5YKq_2kP8_w,True
@mustafabouserg1377,2024-01-14T12:35:53Z,0,اللهم اطل عمرهم وعرضهم للفتن هولاء السماسرة,5YKq_2kP8_w,True
@pharcosicla8242,2024-01-14T07:11:40Z,0,شفارة هاديك خيتي  بغيت غي نعرف منين هي,5YKq_2kP8_w,True
@pharcosicla8242,2024-01-14T07:10:50Z,0,كتبانليا ديك خيتي شفارة,5YKq_2kP8_w,True
@pharcosicla8242,2024-01-14T07:07:17Z,0,شكرا اخي صاحب القناة  انت فعلا رجل فضحتي   السماسرية والخبث ديالهم,5YKq_2kP8_w,True
@pharcosicla8242,2024-01-14T07:05:37Z,0,"انا نعطيها 2 مليون  وفقير 
بحالها موظف بسيط والله حتى نعطيها ليها",5YKq_2kP8_w,True
@MohamedSalmi-cd7el,2024-01-13T01:24:23Z,0,هادو راهم شفارة,5YKq_2kP8_w,True
@walidff2944,2024-01-12T23:23:15Z,0,عندي عدة اشياء تفوق 350 سنة ولن اذهب إلى هاذا البرنامج كلهم نصابة,5YKq_2kP8_w,True
@LIGOPRO,2024-01-12T20:52:38Z,0,شكرا على مجهوداتك محتوى جد جد راع,5YKq_2kP8_w,True
@salmaelbatali8187,2024-01-12T13:20:17Z,1,هادوك .بزناسة تجار,5YKq_2kP8_w,True
@ryggfrudhdfrd253,2024-01-09T22:45:07Z,0,ديك خديجة فيها جوع,5YKq_2kP8_w,True
@shekley,2024-01-08T15:33:33Z,0,Bravooo❤,5YKq_2kP8_w,True
@Nabou,2024-01-07T08:41:48Z,0,بحال هاد البرنامج كاين في ألمانيا ولكن البيع اختياري.,5YKq_2kP8_w,True
@mariaameznas9782,2024-01-04T13:48:43Z,0,Preso 100000000❤❤❤brava Ballissima Italia ❤️ ❤️ ❤️ rabi ihafdake ❤️ ❤️ ❤️ brava,5YKq_2kP8_w,True
@user-ul2ei4ld8p,2024-01-02T23:30:07Z,0,الخبير قالت ليها رضي بالك.,5YKq_2kP8_w,True
@user-ul2ei4ld8p,2024-01-02T23:24:38Z,0,اكبر شفار.,5YKq_2kP8_w,True
@KssafBrahim,2024-01-01T14:50:16Z,0,برنماج النصابين,5YKq_2kP8_w,True
@KssafBrahim,2024-01-01T14:42:39Z,0,جماعة تاع النصابين ،,5YKq_2kP8_w,True
@Recupantique,2023-12-31T18:03:58Z,0,احسن برنامج راءع جدا ...ديرنتا معرض ديالك وارفع الثمن,5YKq_2kP8_w,True
@YouTube_Bajjou,2023-12-31T16:15:06Z,0,هادوا الناس رهم كيشريو لواحد اخر   هو شفار ماشي ليهم في أغلب الاحيان,5YKq_2kP8_w,True
@fatimak7606,2023-12-31T08:52:49Z,0,لا حول ولا قوة الا بالله العلي العظيم,5YKq_2kP8_w,True
@OumAliOumAli-bs5kx,2023-12-30T19:38:37Z,0,لي بان لي إنا كنظن والله أعلم حنا لي كنخلصو كلشي من جيبنا اولا بعدا خاصكم ديرو إضراب على قناة دوزيم لإنها كلها فساد ومنكرات حسبنا الله ونعم الوكيل,5YKq_2kP8_w,True
@Raouia41,2023-12-30T01:33:41Z,0,Sra3tihoom 😂😂😂😂,5YKq_2kP8_w,True
@larbielouad5804,2023-12-29T16:51:16Z,0,الشي المنتج حشومة جيب لنا امثال هاد البش  لا يع فون شيء لا انهم يبحثون عن الهوتات,5YKq_2kP8_w,True
@ayoubadonis1242,2023-12-28T21:51:44Z,0,😮 ولكن ( ان تنصروا الله ينصركم ... ),5YKq_2kP8_w,True
@ayoubadonis1242,2023-12-28T21:50:23Z,0,اسرار المهنة لا يعرفها الا أصحابها ...,5YKq_2kP8_w,True
