author,updated_at,like_count,text,video_id,public
@kifaa7,2023-12-27T17:36:36Z,182,"من وجهة نظري فإن قضية المخدرات الاقوى التي الزراعات التي دمرت حاضر المغرب بسبب  السياسة الفلاحية منذ 2008، والى اليوم حيث ندفع ثمنها من جيبنا اليوم غلاء الخضر الاساسية وجفاف السدود قبل الاوان وعطش وغلاء وفقر
اما الاتحار الدولي في المخدرات فيساهم في تمنمية مناطق كتامة على اي حال تحياتي،",9tLTITOiPao,True
@montaserchannel2349,2024-01-24T10:05:02Z,0,#وصلت,9tLTITOiPao,True
@MohammedBouk,2024-01-22T18:26:35Z,0,وصلت#,9tLTITOiPao,True
@zouhairamighat8575,2024-01-22T07:28:33Z,0,لا افهم سر سكوت الشعب و ا عباد الله واش هاد الخوع و القهرة و الدل وبنادم سلكت شعب ماتت فيه النفس,9tLTITOiPao,True
@user-qq3tr2mk4m,2024-01-22T07:14:00Z,0,Que dieu nous  protege.,9tLTITOiPao,True
@Rojola5,2024-01-21T20:59:02Z,0,الحمرة الروش,9tLTITOiPao,True
@oullafiabdelazize6251,2024-01-21T00:43:25Z,0,"#وصلت 
أحقر مسؤولين سياسين هم من تحسنت أوضاعهم عندما جاعت شعوب أوطانهم",9tLTITOiPao,True
@souadvander2414,2024-01-20T23:54:58Z,0,#وصلت,9tLTITOiPao,True
@vidaloca9151,2024-01-20T21:08:17Z,0,حسب رأي اخنوش خائن للوطن وخائن للمملكة الشريفة يجب اقافه و معاقبته,9tLTITOiPao,True
@zemorilehor2521,2024-01-18T19:36:42Z,0,#وصلت,9tLTITOiPao,True
@idrissi.bouananiabderrahim8483,2024-01-18T18:52:17Z,0,الله يهديكم ٱش كنتسناو من حكومة أول حاجة دارتها هي سحب قانون الإتراء الغير المشروع؟؟؟؟؟,9tLTITOiPao,True
@user-rf2pv6zp8l,2024-01-18T09:59:19Z,0,#وصلت,9tLTITOiPao,True
@user-ue8do5ct8b,2024-01-16T18:14:28Z,0,الجشع,9tLTITOiPao,True
@said5736,2024-01-15T23:08:57Z,0,#وصلت,9tLTITOiPao,True
@adilmahrach4694,2024-01-15T06:38:14Z,0,#وصلت,9tLTITOiPao,True
@rachidjale3607,2024-01-14T20:05:31Z,0,تز الخدرة موجودة بكتير في المغرب ولكن يصدروها إلى إفريقية فلهادا يغلا تمنها يجب الدولة تمنع تصدير الخدرة الى إفريقية,9tLTITOiPao,True
@mohamedbouamira917,2024-01-14T16:01:35Z,0,❤❤❤❤😂😂😂😂,9tLTITOiPao,True
@mohamedahmedaitelfatmi1585,2024-01-14T15:54:12Z,0,#وصلت,9tLTITOiPao,True
@AdamHassan-fj1db,2024-01-14T02:09:51Z,0,لا تنس ان اخنوش كان وزير لما يزيد عن عشرين سنة عمل خلالها على تدمير الزراعة واستنزاف الفرشة المائية  وهو لا يفقه شيئا في الزراعة ثم ان الزراعة معفية منً الضرائب بحكم ان القصر هو الذي يستثمر في هذا المجال ويصدر كل ما ينتج الى الخارج,9tLTITOiPao,True
@khattabihicham7266,2024-01-13T23:15:29Z,0,مخاصش أخنوش يكمل هاد الولاية بكل صراحة خاصو يسلم المفاتيح راه رون المغرب نسبة الفقراء تضاعفت في المغرب,9tLTITOiPao,True
@ouiyes8846,2024-01-13T20:40:03Z,0,اخنوش منفذ مخططات الماسون المخربة في بلادنا  ! أفلا تعقلون !,9tLTITOiPao,True
@yassinealaouiazizi2820,2024-01-13T15:46:24Z,0,"السلام عليكم ورحمة الله
#وصلت# وصلنا إلى الحافة.
الحمدلله على نعمة الاسلام
درويش ليه الله
لاحول ولاقوة إلا بالله العلي العظيم",9tLTITOiPao,True
@7imanach,2024-01-13T08:12:56Z,0,#وصلت,9tLTITOiPao,True
@khadijaelidrissi1896,2024-01-12T23:34:53Z,0,حسبنا الله ونعم الوكيل في هذا الحكومة الظالمة حسبنا الله ونعم الوكيل فيهم,9tLTITOiPao,True
@mohcinebelaid7096,2024-01-12T22:10:01Z,1,الخضرة غالية,9tLTITOiPao,True
@voocadeau8284,2024-01-12T21:14:31Z,0,قمت الدل بلاد فيها السيبا للفاسدين والقمع للشعب الهش مش. مع انتشار الجهل والوعي بالواقع والبدعة,9tLTITOiPao,True
@user-uw2vl7hw6w,2024-01-12T17:53:13Z,0,👍👍👍👍👍👍,9tLTITOiPao,True
@user-uw2vl7hw6w,2024-01-12T17:52:52Z,0,👍👍👍👍👍👍👍,9tLTITOiPao,True
@user-td8ez2wc1b,2024-01-12T11:23:12Z,0,كفانا انتقادات  لوطننا للمغرب🇲🇦 ماذا فعلتم لبلدكم انتم ؟ لا شيء غير الكلام و الكلام السلبي 🧨🧨🧨 لجلب المشاهدات و الربح المادى ( بدون تأديت الضرائب على الدخل )على حساب العقول الضعيفة🤤🤤 . (التهرب الضريبي جريمة و تدخل في الفساد ).   يجب محاربة كل الخونة و الداعمين لدولة الجنرالات🔥 داخل أرض الوطن لأننا اصبحنا نرى فئة لا بأس بها من المغاربة الذين ينتقدون المغرب ليلا و نهارا لخدمة أجندة الجزائر و التشهير بالقادة المغاربة 🚨🚨. ماذا تنتظر الحكومة والمسؤولين من هذا التساهل، عاش الملك محمد السادس❤❤ و عاش المغرب ❤❤عاليا حرا و عاش الشعب❤❤ .,9tLTITOiPao,True
@salah_22,2024-01-12T09:33:40Z,0,#وصلت,9tLTITOiPao,True
@Ahmed-pc8nc,2024-01-11T19:53:43Z,0,وصلت يارب سلم سلم,9tLTITOiPao,True
@elaoudusatv2582,2024-01-11T12:20:18Z,0,يعني حنا مجرد خماميس وسراريح عند الأروبيين خدامين معاهم,9tLTITOiPao,True
@elaoudusatv2582,2024-01-11T12:18:00Z,1,نتيجة مخطط المغرب الأسود,9tLTITOiPao,True
@moimohamed2801,2024-01-11T02:39:28Z,0,نهار تنشف البلاد غادي ركب الطيارة ديالو و غادي بدل بما حسن,9tLTITOiPao,True
@somaboujnane5045,2024-01-11T02:11:12Z,0,وصلت هاشتاگ,9tLTITOiPao,True
@electrosonhicham7675,2024-01-11T01:42:10Z,0,#,9tLTITOiPao,True
@rachitta202,2024-01-10T23:47:26Z,1,اللهم لا تسلط علينا بذنوبنا من لا يخافك فينا ولا يرحمنا.. آمين,9tLTITOiPao,True
@rosesauvage308,2024-01-10T15:14:19Z,0,"#arrived successfully, thanks🙏🏻",9tLTITOiPao,True
@HassanHamlili-kx9ip,2024-01-09T22:44:47Z,0,ثلاثة احزاب من اقبح واخطر احزاب المغرب اولهم هو حزب الاستغلال الذى له ماضي زوين مع المغاربة وحزب الاشرار ثم حزب  العصارة والمعصرة واسماءهم تدل عليهم كما يقال اسم على مسمى,9tLTITOiPao,True
@HassanHamlili-kx9ip,2024-01-09T21:57:03Z,0,والله ثم والله الا حكامنا غير الاوباش السلاكيط,9tLTITOiPao,True
@user-qv2yq5ef9r,2024-01-09T18:58:07Z,0,kaychri lbozor bi lmalayir min amwal cha3b oygharsoha ikhasro 3liha lma oysaddroha lmonkar had lablad mchat cha3b lli mcha chardona llah yakhod lha9,9tLTITOiPao,True
@azizskra5336,2024-01-09T11:54:07Z,0,"#, وصال",9tLTITOiPao,True
@youtop4991,2024-01-09T11:03:05Z,0,"حقا ما قال 
العرب في مجاعة
ولو ترى حال الجزائر والسودان وتونس ..",9tLTITOiPao,True
@ahmedhaimoud2858,2024-01-08T20:26:23Z,0,"هناك عدة عوامل لغلاء الخضر. 1- الجفاف و ندرة المياه
2 -  التصدير إلى إفريقيا و أوروبا 
3 - الضريبة ( العشر) + الشناقة
ما هي الحلول. 1 تطوير الزراعة لمقاومة الجفاف. منع زراعة الفواكه المستهلكة لكمية كبيرة من المياه. مثل الأفوكا و البطيخ الأحمر. تسريع مشاريع التحلية. البحث في الإستثمار في الزراعة في أراضي فلاحية في إفريقيا مثل السودان و غيرها من الدول لزراعة الحبوب و الخضر و التي يوجد عنده الماء و الأراضي الصالحة للزراعة وتوريدها للمغرب لتغطية الإكتفاء الذاتي. حماية المستهلك بخلق تعاونيات في المدن تشتري من عند الفلاح مباشرة و بيع المنتوجات الفلاحية مباشرة للمستهلك لضرب الشناقة الذين يرفعون من أسعار المواد و كذلك اعفاء دفع الضريبة و الاكتفاء بدفع الرسوم فقط.. و سترى والنتائج التي تأمن الإكتفاء الذاتي بالنسبة للمنتوجات الخضروية و الفواكه.
 البحث الزراعي لإيجا",9tLTITOiPao,True
@abderrahimelbaiti,2024-01-08T19:12:36Z,0,#وصلت,9tLTITOiPao,True
@ouarraqabdououarraq9901,2024-01-08T15:56:18Z,0,الجفاف غضب من الله لم نرى مثل هدا الجفاف لمدة 60 سنة تقريبا كل هدا من شر اعمالنا,9tLTITOiPao,True
@ouarraqabdououarraq9901,2024-01-08T15:47:31Z,0,أعداء الوطن داخل الوطن أشد شراسة من العدو الخارجي الفساد يبعد عنا الأمطار ويكثر الكوارث إن لم نحارب الفساد سنرجع سنوات ضوئية إلى الوراء وسنعتنق التخلف والفقر والتبعية الابدية وكل هدا من افعال ايدينا مازلنا لم نفهم الدرس من الاوروبيين والدول المتطورة لم نأخد العبرة من تركيا إسبانيا الصين الهند دول تعمل بجدية وحاربت الفساد كنا نسير بخطى تابثة نحو تطور البلاد ولكن في 3 سنوات الماضية بدأنا الرجوع إلى الوراء,9tLTITOiPao,True
@KACIMI1,2024-01-08T14:53:09Z,0,#وصلت,9tLTITOiPao,True
@KACIMI1,2024-01-08T14:51:31Z,0,اه انا خدمت فالغرب كايت التوت أدالأزرق و الأحمر و البطيخ الأحمر و الفراولة و الأڤوكادو ؛ راه بزاف ديال الما كايضيع و الله .,9tLTITOiPao,True
@KACIMI1,2024-01-08T14:47:56Z,0,المعيشة في المغرب ، مع إختلاف العملة ، جد صعبة بالمقاربة مع أوروبا,9tLTITOiPao,True
@user-ry3jg8qv2t,2024-01-08T10:34:37Z,0,كلشي من ملك البلاد مقابل السياسة الخارجية وطالق علينا كلابو نعلة الله عليه وعليهم,9tLTITOiPao,True
@saadiidrissirachid6186,2024-01-08T10:33:36Z,0,الإنتاج المغربي الزراعي والفلاحي مالها إلى التصدير خارج المملكة بعيدا على الشعب المغربي والذي يعاني من الدفع لغلاء المنتج.كفا ضحك على بطون المغاربة.,9tLTITOiPao,True
@user-mh5lj9tq6v,2024-01-08T08:16:15Z,0,#وصلت,9tLTITOiPao,True
@John-Outlook,2024-01-08T06:20:30Z,0,Mohamed 6 howa chafar hhhhh,9tLTITOiPao,True
@hassanaddou1630,2024-01-07T20:22:43Z,0,الثورة هي الحل مع هؤلات ألمافيا,9tLTITOiPao,True
@jawadelmorabet8506,2024-01-07T18:33:22Z,0,😢😢😢,9tLTITOiPao,True
@ahmedderouich7202,2024-01-07T18:16:59Z,0,لنا شعب خواف هدا هو سباب لو تكلمو على حقهم اخنوش ما يتجبرش على الشعب,9tLTITOiPao,True
@youssefmen4480,2024-01-07T14:37:34Z,0,#وصلت,9tLTITOiPao,True
@hakfat8967,2024-01-07T14:27:54Z,1,يجب على  المسؤولين العمل لتوفير الاءكتفاء الذاتي ءاولا وءاخيرا 🤷‍♂️,9tLTITOiPao,True
@user-vu5dr7uu5g,2024-01-07T13:29:14Z,0,وصل,9tLTITOiPao,True
@user-vu5dr7uu5g,2024-01-07T13:28:40Z,0,"الملك عندو الفائدة مع الاغنياء  والبارونات اما الشعب فما هو كعبيد للعايلة الملكية والمخزن 
والشعب هو سبب المشاكل التي يعيشها
عليهم بمحاربة الحكم الملكي ويرجعوه مثله مثل حكم الملوك في اوروبا او ستزداد المشاكل الاجتماعية والعبودية",9tLTITOiPao,True
@HassanNguer-rj7rs,2024-01-06T21:27:48Z,0,#وصلت,9tLTITOiPao,True
@user-xh4xy9ku8v,2024-01-06T19:34:31Z,0,شعب مدلوول مصمكة ليه الغيطة,9tLTITOiPao,True
@jamalyoutube988,2024-01-06T11:32:05Z,0,#وصلت,9tLTITOiPao,True
@mrlovice,2024-01-06T08:51:13Z,0,o kon ma mokhatat hassan tani dyal binae sodod kon kna bhal jazair o libya dba ky3niw mn lma,9tLTITOiPao,True
@mrlovice,2024-01-06T08:50:14Z,0,rah jazair o tunis o libya hado kamlin 3ndhom mochkol lma b sbab tasa9otat o jafaf wkha nhydo lavoca rah walo ma tb9wch tkhwro kdiro raskom wa3rin s3a walo,9tLTITOiPao,True
@abdelmalikbahga5727,2024-01-06T03:51:30Z,0,#وصلت,9tLTITOiPao,True
