author,updated_at,like_count,text,video_id,public
@nadiaabouali6446,2024-01-24T11:34:13Z,0,سميتها تعطيك لخبار الزبال راكي زبال نيت,hWKf1bPSopQ,True
@Simo-ks3vt,2024-01-24T08:54:58Z,0,سلطان ان شاء الله,hWKf1bPSopQ,True
@colormoon5108,2024-01-24T08:00:22Z,0,الله يلعنهم دنيا وأخرة كيبغيو يتشهرو بالفسق حسبنا الله ونعم الوكيل فيهم ولي متلهم,hWKf1bPSopQ,True
@user-nq3zt5pu7r,2024-01-24T03:28:14Z,0,Hado chitanat tai7o dale 3la lmaghrib l7abib wolh 7choma o3aib,hWKf1bPSopQ,True
@AhmedSalah-rg9xo,2024-01-23T23:23:51Z,0,الفسق,hWKf1bPSopQ,True
@aichachahbar3571,2024-01-23T19:43:59Z,0,هادي رها البسالة وقلة الترابي,hWKf1bPSopQ,True
@user-iq5ie3kl4c,2024-01-23T19:09:37Z,0,وسخ ممثلين المغرب 🇲🇦 يخ,hWKf1bPSopQ,True
@user-wb5wv4lh1c,2024-01-23T16:35:42Z,0,الشعب بريئ من مثل هذه الجراثيم البشرية   في خدام مصالح الصهاينة,hWKf1bPSopQ,True
@hicham8em,2024-01-23T16:00:12Z,0,لا حولا ولاقوة الابالله العلي العظيم 😢😢,hWKf1bPSopQ,True
@Loulouwalae,2024-01-23T15:39:05Z,1,هذه المثلية بعينها😢,hWKf1bPSopQ,True
@kamalkhaled4672,2024-01-23T15:09:22Z,0,قحبة تمارة + بوزبال الزبالة =عاهرات التمثيل في المغرب,hWKf1bPSopQ,True
@dali133,2024-01-23T11:03:32Z,0,"واحد الرجل الله يرحمه  ما كوناش نفهمه  كان يقولينا واحنا صغار: 
 "" حتى دار ما خطاها طاروا د الزبل"" 
...كبرنا باش فهمنا كلامو",hWKf1bPSopQ,True
@fatemala3201,2024-01-23T07:10:02Z,0,عشنا زمان كل الفساد بانواعه ماقامت به كل الاقوام السابقة لهذا نحن في انتظار العقاب الاشد وربما ماقبل النهاية .,hWKf1bPSopQ,True
@majdagharrabou5268,2024-01-23T02:33:22Z,0,"شلوطيات
ماكيمثلوش المغرب
هديك الراضي مغرورة ومكروهة، تلاقيتها في أصيلة دازت متعفرة. حتى حد ماداها فيها أصلا. كيسحابها راسها أنجيلينا جولي.",hWKf1bPSopQ,True
@faraheljadida6929,2024-01-22T21:25:59Z,1,حسبنا الله ونعم الوكيل على هاذ الشاذات,hWKf1bPSopQ,True
@TamellaAhmed,2024-01-22T15:04:29Z,0,اللهم ان هذا منكر نحن ابرياء من افعالكم,hWKf1bPSopQ,True
@MohamedMohamed-em7jt,2024-01-22T13:44:03Z,0,اللهم لاتجعل للظالمين علينا سبيلا اللهم عجل بزوال كل ظالم معتد,hWKf1bPSopQ,True
@naoualelouali7606,2024-01-21T23:07:47Z,0,شوهتونا لعنة الله عليكما,hWKf1bPSopQ,True
